Team,AttackEffect,DefenseEffect
Arsenal,0.18365311938721762,-0.1544754363033004
Aston Villa,-0.0558143707111165,0.17758777413194554
Chelsea,0.367736418831768,-0.3661936296960209
Everton,-0.06981823710817747,-0.1953253483502992
Fulham,0.13699943036768758,0.051772897952760355
Liverpool,0.17556406014942194,-0.1593810296408662
Man City,0.023935585501581924,-0.3256010055990728
Man United,0.23588438430072967,-0.13663027377865472
Newcastle,-0.12376953084996223,0.3066266728587789
Norwich,0.04361626872744084,0.20358389847801373
QPR,-0.5406198790882873,0.1365312507208667
Reading,-0.1914234297116329,0.3744408273042235
Southampton,0.021907887753765176,0.1543361083890889
Stoke,-0.2147375603784854,-0.10777087967507407
Sunderland,-0.0985088394081175,-0.20772581310558913
Swansea,-0.16933760926853636,-0.054643540516048805
Tottenham,0.22115752136816158,0.10135854710685122
West Brom,0.2547129467704792,-0.0015785509894243877
West Ham,0.0037550246788987662,-0.09599307228104859
Wigan,-0.20489319131283784,0.29908060299287037
